ESTADO,MESES,INGRESOS,CASA,PRECIO_DISPOSITIVO,PROMEDIO_DURACION_LLAMADA,SATISFACCION,SOBRECARGO,SALDO_RESTANTE,COMPARTIR,LON,LAT
RETIRADO,43,1607603,986000000,668990,15.4,6.846303075,97.59198148,20.4,NO,0,0
RETIRADO,28,7867432,988000000,972249,2.2,5.927426502,161.5759682,78,NO,0,0
VINCULADO,25,6950861,1485000000,977429,2.8,3.673235107,0,92,NO,0,0
VINCULADO,28,2691710,576000000,447088,2.1,3.875365102,40.86123344,19.9,NO,0,0
VINCULADO,23,4080740,940000000,3194086,2.7,4.506751137,3.69134184,10.4,NO,0,0
VINCULADO,32,3318850,741000000,820500,2.3,4.720295952,9.903148623,15.7,SI,-74.18791232,4.641647954
RETIRADO,18,825229,400000000,1888059,15.1,7.299612479,239.5931585,12.6,NO,0,0
RETIRADO,10,4068856,860000000,1215103,1.2,4.305046937,0,28.6,SI,-74.14768921,4.655976556
RETIRADO,41,2410382,539000000,393251,2.8,7.314853291,176.3449084,0,NO,0,0
RETIRADO,26,515348,599000000,597885,17.5,6.349173049,262.3551559,20.8,NO,0,0
RETIRADO,10,1951427,323000000,3350462,16.1,6.811946562,230.0001748,8.4,NO,0,0
RETIRADO,15,3328051,740000000,466333,2.6,6.704222509,215.9373674,0,NO,0,0
RETIRADO,38,7680299,1619000000,1249560,13.8,6.93028186,201.6187328,61.3,NO,0,0
RETIRADO,21,8421357,2029000000,1056571,1.7,7.051396741,155.3856903,74.4,NO,0,0
RETIRADO,32,7433851,404000000,844968,1.6,4.319507315,7.663083334,71.7,NO,0,0
VINCULADO,35,2245371,501000000,508583,2.1,4.770994435,3.136450835,14,NO,0,0
RETIRADO,31,7408481,1736000000,900685,17.2,6.577423775,149.7568249,68.7,NO,0,0
RETIRADO,15,2986047,704000000,1809746,0.7,6.867611315,259.2485544,37.5,NO,0,0
RETIRADO,12,4357346,995000000,1224272,2,7.292984027,168.4890537,16.7,NO,0,0
VINCULADO,21,7317325,306000000,345323,17.4,4.803435503,62.49691772,64.4,NO,0,0
RETIRADO,28,1695729,403000000,1438380,17.1,6.693524809,193.2068615,24.2,NO,0,0
VINCULADO,0,7314643,680000000,291202,16.6,4.656398117,0,54.1,NO,0,0
RETIRADO,30,719478,161000000,1243971,16.1,6.72645026,310.4902843,23.9,NO,0,0
VINCULADO,27,901498,509000000,349665,16.3,4.150379782,0,22.2,NO,0,0
RETIRADO,50,7308180,523000000,2541999,1.1,6.27074183,200.6344827,81.4,NO,0,0
RETIRADO,19,1531040,414000000,926144,15.6,6.591177093,222.5712233,17.4,SI,-74.18395266,4.585073038
RETIRADO,20,1505039,253000000,1714423,15.5,6.336932265,192.0189582,26.5,SI,-74.1196925,4.55660222
VINCULADO,34,7496848,84000000,1009526,0.6,4.637828858,0,71.1,NO,0,0
VINCULADO,26,3246809,507000000,2582228,2.5,4.518066167,0,11.2,NO,0,0
RETIRADO,14,849818,171000000,284761,17.2,6.668745541,67.96276699,3.6,NO,0,0
RETIRADO,18,7411646,252000000,2036447,0.3,4.167809663,31.82351485,51.3,NO,0,0
RETIRADO,0,7863774,1036000000,1342154,15.4,6.949721675,179.681033,71.1,NO,0,0
VINCULADO,39,4026169,695000000,1300460,2.1,5.025521783,0,0,NO,0,0
RETIRADO,40,6508433,85000000,818699,3.3,5.176735779,30.17019167,72.8,NO,0,0
VINCULADO,18,7140359,670000000,368362,15.9,5.132717638,20.88332457,93.4,NO,0,0
RETIRADO,24,6654258,1371000000,2006560,16,7.023705053,226.3883354,62.7,NO,0,0
VINCULADO,20,747966,86000000,1514913,16.2,5.385185159,21.80277343,18.3,NO,0,0
VINCULADO,14,6928614,1567000000,1797550,0.6,6.41417177,199.9752042,69.9,NO,0,0
RETIRADO,20,7326985,1610000000,313150,16.9,6.109008114,231.121293,63.9,NO,0,0
VINCULADO,20,7037551,1475000000,2207286,14.5,4.447160333,49.07915894,107.4,NO,0,0
RETIRADO,25,8694206,1890000000,726254,15.5,7.129965898,198.144003,57.8,NO,0,0
RETIRADO,24,7325661,268000000,575591,1.2,6.487495253,254.0073602,68.6,NO,0,0
RETIRADO,10,766024,165000000,1097918,16.6,6.466863865,328.9537521,18.9,NO,0,0
RETIRADO,11,7339549,1067000000,2432890,15,6.378605637,132.6127931,65.1,NO,0,0
VINCULADO,34,825072,808000000,3201544,16.3,4.446194778,0,18.9,NO,0,0
VINCULADO,14,4408505,84000000,2250068,1.6,5.348000754,23.47677811,9.6,NO,0,0
VINCULADO,17,8243666,591000000,846956,16.4,4.517972466,26.4482072,75.8,NO,0,0
VINCULADO,29,3149569,494000000,1033434,1.2,4.828020459,54.35003349,10,NO,0,0
VINCULADO,44,7331824,1585000000,2097564,0.1,4.603904027,34.1455598,103.1,NO,0,0
VINCULADO,24,3097550,558000000,1306177,2.3,4.737168974,24.90210319,35.6,NO,0,0
RETIRADO,2,7636175,1869000000,1332671,16,6.192501548,238.3265207,77.3,NO,0,0
RETIRADO,29,2143865,624000000,1308197,1.4,6.733620862,226.0040739,16.9,NO,0,0
RETIRADO,48,2177889,621000000,533217,16.2,7.190657231,235.624189,43.1,NO,0,0
VINCULADO,0,4057019,304000000,1933116,0.3,5.192802765,0,29,NO,0,0
VINCULADO,17,6927379,373000000,470063,14.9,4.356337717,37.54237694,58.7,NO,0,0
VINCULADO,49,7282324,633000000,1543499,16.9,5.070392665,13.4508682,87.3,NO,0,0
RETIRADO,32,7873069,489000000,1895768,13.9,6.642085056,222.0745037,114.1,NO,0,0
VINCULADO,49,7503976,287000000,1223810,16,4.91242393,18.09781505,75.9,NO,0,0
RETIRADO,63,3341974,405000000,658328,0.6,6.144780201,263.8033672,21.7,NO,0,0
RETIRADO,33,1517126,175000000,798610,18.1,7.442467828,302.3943743,16.7,NO,0,0
RETIRADO,34,7607347,83000000,407825,14.3,6.716612612,206.4157424,66.8,NO,0,0
VINCULADO,7,8731349,1934000000,1897434,1.9,6.903600408,247.4492231,45.8,NO,0,0
RETIRADO,7,7712309,1862000000,777370,14.3,6.774297522,119.7607923,90.7,NO,0,0
VINCULADO,29,6642265,997000000,3034929,15.8,6.842061348,209.2737753,65.3,NO,0,0
VINCULADO,54,4584025,711000000,1804374,0.8,4.694946246,0,14.2,NO,0,0
VINCULADO,19,3970284,617000000,2449408,1.4,7.195909271,193.8366959,12.4,NO,0,0
VINCULADO,8,7464352,718000000,422731,2,6.763517246,196.0291029,10.4,NO,0,0
RETIRADO,31,7736337,1743000000,1125987,16.3,6.840618619,128.4449635,67.9,NO,0,0
RETIRADO,0,8632380,1218000000,1156839,1.9,6.66685728,219.2692319,68.2,NO,0,0
RETIRADO,36,621631,648000000,944418,16.6,6.79942575,129.7195252,28.3,NO,0,0
RETIRADO,28,684203,319000000,1589698,15.9,6.948541256,162.6995461,0,NO,0,0
RETIRADO,38,1155072,731000000,1781471,17.2,7.060177495,184.6374792,13.1,SI,-74.1194453,4.743552805
VINCULADO,39,833303,538000000,394666,18,4.378788956,14.96373085,1.5,NO,0,0
RETIRADO,16,7563328,752000000,366448,1.5,6.559281554,202.1661147,96.8,NO,0,0
RETIRADO,17,3655444,781000000,363336,0.3,5.491017804,49.15498838,0,NO,0,0
VINCULADO,41,150000,83000000,404215,17.1,5.258258961,78.76909753,17.3,NO,0,0
VINCULADO,25,7054836,1586000000,1217703,16,5.231696002,30.32035776,70.2,SI,-74.1387342,4.687678675
RETIRADO,14,2689480,587000000,1239818,3,6.433578865,252.267832,15.6,NO,0,0
RETIRADO,0,3173266,567000000,1957499,1.9,6.788353483,271.8977705,2.1,SI,-74.08235697,4.739735374
VINCULADO,63,150000,591000000,599695,15.7,4.62384754,26.47672739,12.3,NO,0,0
RETIRADO,32,8123039,900000000,949564,16.6,6.758804565,169.284624,67.3,NO,0,0
RETIRADO,18,7688473,1852000000,2605952,16.4,6.547049969,185.837972,91.5,NO,0,0
VINCULADO,15,6799511,1450000000,442018,16.8,4.245259088,0,72.7,NO,0,0
VINCULADO,0,2791687,566000000,1379121,2.9,5.256229782,0,19.3,NO,0,0
VINCULADO,20,2972774,614000000,691329,2.7,4.266383938,91.92634971,0,NO,0,0
VINCULADO,28,3616851,966000000,2040803,2.7,4.16412051,0,19.6,NO,0,0
RETIRADO,32,2976971,653000000,1525990,2.8,6.741302104,216.257276,13.3,NO,0,0
VINCULADO,0,6678597,329000000,1950247,16.2,5.08858191,0,67.8,NO,0,0
RETIRADO,12,3479303,371000000,2520620,1.6,6.696847383,173.1507196,13.9,NO,0,0
VINCULADO,15,7814864,864000000,1325972,3,5.259305578,10.38462708,63.2,NO,0,0
RETIRADO,30,3252032,571000000,1988762,3.5,7.089596334,159.4073106,22.4,NO,0,0
VINCULADO,3,1631589,607000000,2974788,16.3,5.017711581,3.248923253,5.5,NO,0,0
RETIRADO,11,3923430,931000000,2467790,2.5,6.709317233,125.5230744,14.6,NO,0,0
RETIRADO,27,1279089,308000000,2255548,16.2,6.832939428,211.8085255,24.7,NO,0,0
VINCULADO,26,1029276,383000000,821819,15.9,4.172412188,19.57213061,19.9,NO,0,0
RETIRADO,42,6411359,1500000000,1128496,17,4.652956338,22.06920693,71.3,NO,0,0
VINCULADO,12,7863137,733000000,1868553,16,5.348225095,0,77,NO,0,0
VINCULADO,33,7883524,1756000000,1319068,15.1,5.178195976,0,101.8,NO,0,0
RETIRADO,15,1662422,396000000,3132542,16.6,6.175724053,340.0716996,10.8,NO,0,0
RETIRADO,39,150000,674000000,1559384,14.9,7.136988488,69.14990808,16.6,NO,0,0
RETIRADO,23,7288216,1767000000,1261551,1.5,6.396423583,213.2303509,78.6,NO,0,0
RETIRADO,23,632106,83000000,2141115,16.2,6.339384375,204.5355979,26.9,SI,-74.15104889,4.565465542
VINCULADO,6,1802426,599000000,448192,15.7,6.783714559,229.8500324,14,NO,0,0
VINCULADO,23,7810801,1159000000,1228196,1.3,3.437179527,9.740102334,46.6,NO,0,0
RETIRADO,19,1370092,522000000,2157377,15.7,6.864750406,182.2709131,27,NO,0,0
VINCULADO,45,7662460,343000000,1126503,17.2,4.373345304,24.0542808,77.1,NO,0,0
VINCULADO,23,7297896,627000000,894858,17.9,6.575456793,107.1069716,57.1,NO,0,0
VINCULADO,28,7331754,271000000,334808,16.2,4.8736819,0,92.5,NO,0,0
RETIRADO,34,7620475,762000000,438066,1.5,7.012055971,145.1657251,58.6,NO,0,0
VINCULADO,25,7149695,607000000,1690495,2.2,4.347505611,0,32.1,NO,0,0
RETIRADO,6,224820,697000000,1553504,14.4,6.385049058,318.5209009,12.4,NO,0,0
RETIRADO,21,3017969,709000000,377319,3.4,6.911368474,174.6446041,4.6,NO,0,0
VINCULADO,43,7108593,338000000,1177397,2,4.437990367,7.101061541,81.7,NO,0,0
RETIRADO,28,2990979,695000000,1725548,2.2,7.186280176,243.4520424,27.9,NO,0,0
RETIRADO,17,3567225,416000000,1171496,3.1,6.272530476,268.3339918,0,NO,0,0
RETIRADO,34,1038921,578000000,390210,16.2,7.426249998,223.0985274,0.2,NO,0,0
RETIRADO,29,4067414,896000000,515766,1,6.635459348,283.191675,14.9,NO,0,0
VINCULADO,23,4926197,197000000,855656,3.3,4.647526185,13.58340186,11.8,NO,0,0
VINCULADO,22,1823092,397000000,1176990,15.2,4.43835569,45.69740261,13.6,NO,0,0
RETIRADO,13,924373,262000000,465286,16.4,6.993081569,149.362594,0.1,NO,0,0
VINCULADO,15,7190936,1551000000,460517,16.1,5.475237406,0,81.1,NO,0,0
RETIRADO,38,7661627,191000000,971186,19.2,6.971633475,204.6409791,67.4,NO,0,0
RETIRADO,11,2933999,857000000,397180,2.8,6.727162356,251.9736621,1.9,NO,0,0
VINCULADO,9,3087809,523000000,763249,0.8,4.67959561,12.6888083,9.6,NO,0,0
RETIRADO,3,7088320,1729000000,918389,16.1,7.013222118,228.005187,72.5,NO,0,0
VINCULADO,30,8090443,1773000000,308562,2.3,4.878601975,23.9185974,67.1,NO,0,0
VINCULADO,26,6713000,559000000,394411,15.6,4.799142902,0,75,NO,0,0
RETIRADO,21,7210879,85000000,2830304,2.9,7.121141853,241.5879588,92.6,NO,0,0
RETIRADO,9,1929551,385000000,1415321,14.3,5.021284309,12.87129648,28.4,NO,0,0
VINCULADO,14,756446,261000000,1293703,16.7,4.543227583,25.89140317,11.2,NO,0,0
RETIRADO,27,6846400,1425000000,1580859,3.5,6.841643006,257.458174,72.9,NO,0,0
VINCULADO,26,6502704,1379000000,423536,16.2,4.169833245,1.288125905,55.4,NO,0,0
VINCULADO,41,2683330,347000000,359407,15.5,4.56363239,3.630682202,8.7,NO,0,0
RETIRADO,27,378348,85000000,787721,18.1,6.827907064,83.631874,29.3,NO,0,0
RETIRADO,4,154155,705000000,1086239,13.9,6.604315272,121.8861123,7.3,NO,0,0
VINCULADO,40,1851824,803000000,2076358,16.5,4.514833089,12.43049669,12.1,NO,0,0
RETIRADO,51,3505432,793000000,1597450,0,6.146500911,252.3173229,15.7,NO,0,0
VINCULADO,7,2332334,556000000,1884906,16.2,4.589404201,59.09423471,9.6,NO,0,0
RETIRADO,16,191768,216000000,1369477,15.4,7.042094109,160.7690427,0,NO,0,0
VINCULADO,36,6555616,1540000000,2792897,15.7,5.149757683,23.40973737,24.9,NO,0,0
VINCULADO,21,7336245,223000000,1437178,17.7,5.21234051,0,95.9,NO,0,0
RETIRADO,47,925075,295000000,477280,15.9,6.900769974,142.4277801,14.8,NO,0,0
VINCULADO,23,6489117,866000000,1572631,15.5,6.286579919,262.0426103,52.7,NO,0,0
RETIRADO,13,1020970,577000000,1260858,15.9,6.271447367,81.64945614,19.1,NO,0,0
VINCULADO,33,2679955,254000000,1534808,15.1,4.544410825,0,19.9,NO,0,0
RETIRADO,26,6251441,649000000,951142,15.8,7.527189083,247.8272129,68.4,NO,0,0
RETIRADO,11,8492768,82000000,375281,1.1,6.653989637,190.3675344,73.7,NO,0,0
VINCULADO,24,8284881,1334000000,336013,1.4,5.281756979,15.12307862,55.6,NO,0,0
RETIRADO,20,6853737,714000000,1511549,16.6,7.569886519,174.7579888,79.6,NO,0,0
RETIRADO,36,706246,144000000,1794534,16.2,6.011145949,47.21737231,8,NO,0,0
RETIRADO,13,1042871,664000000,1156262,15.7,4.838467716,25.32488121,10.8,NO,0,0
RETIRADO,36,2284441,473000000,325587,3.7,6.930685354,255.5643085,4.4,NO,0,0
RETIRADO,36,6889969,736000000,1340894,16.1,7.100524853,139.0633865,59.3,NO,0,0
RETIRADO,0,2438933,638000000,2085499,15.5,6.586942458,234.2571231,27.3,NO,0,0
VINCULADO,30,3874433,874000000,470163,3.5,4.861871797,59.38473222,17.8,NO,0,0
RETIRADO,48,976713,715000000,1510296,17,7.173232648,169.6538427,6.1,NO,0,0
VINCULADO,0,710768,650000000,1913584,15.9,5.957647579,0,19.9,NO,0,0
VINCULADO,26,6956973,1464000000,1665701,15.8,5.090659322,41.58180832,35.4,NO,0,0
RETIRADO,21,7439198,373000000,2333213,16.2,7.060604373,97.12034911,77.2,NO,0,0
VINCULADO,49,2306767,622000000,2240005,15.1,4.578326233,9.681629467,3.9,NO,0,0
RETIRADO,0,8112315,698000000,3322104,2.2,6.789792463,152.3074422,97.4,NO,0,0
RETIRADO,50,584622,1039000000,439470,16.3,6.567082192,235.7507102,2.9,NO,0,0
VINCULADO,40,809510,1160000000,1523637,15.7,4.076035227,32.57418829,0,NO,0,0
VINCULADO,28,7015714,589000000,2567193,16.6,4.616046368,0,60.2,NO,0,0
VINCULADO,12,521568,977000000,1829043,17,4.830147968,26.85560121,0,NO,0,0
VINCULADO,5,7869330,610000000,2000996,2.8,4.474183529,35.60345899,85.4,NO,0,0
VINCULADO,32,7214296,167000000,2787307,0.2,4.843463706,0.006842711,58.3,NO,0,0
RETIRADO,25,6996109,93000000,2823590,2.8,6.239411302,150.2764987,73.7,NO,0,0
VINCULADO,46,7534493,462000000,2777081,0.9,5.428229603,25.93163026,80.9,NO,0,0
RETIRADO,27,3592127,839000000,1154075,0.9,7.164698765,139.3317499,5.1,NO,0,0
RETIRADO,45,7645062,916000000,1507526,18.2,6.375508684,228.6786317,65.4,NO,0,0
VINCULADO,30,7217963,662000000,2065774,1.4,4.917135551,0,53,NO,0,0
VINCULADO,0,3466896,744000000,305962,1.6,4.518074565,13.2484993,20.1,NO,0,0
VINCULADO,28,7111512,886000000,2550649,15,4.432383276,64.80721819,60.3,NO,0,0
RETIRADO,8,3034218,723000000,390388,1.3,6.755953537,160.2082906,21.1,NO,0,0
RETIRADO,27,3713701,753000000,824878,0.8,7.317532998,248.4613623,28.8,NO,0,0
RETIRADO,18,6906209,1449000000,1876189,1.3,6.395118765,248.6958223,66.2,NO,0,0
RETIRADO,48,7612515,309000000,374277,4.6,6.237943236,209.6807682,75.8,NO,0,0
RETIRADO,23,8018231,1757000000,1038472,15.8,6.69736449,157.3941945,56.9,NO,0,0
RETIRADO,23,1525595,322000000,934444,16,6.783574013,158.7054757,21.4,NO,0,0
VINCULADO,0,1455114,310000000,1165948,14.1,6.700827168,183.6302466,0,NO,0,0
VINCULADO,20,3402503,714000000,2194296,2.8,3.899181137,11.66692968,14.7,NO,0,0
RETIRADO,6,7820513,900000000,857082,4.2,7.141280068,271.8056042,57.4,NO,0,0
VINCULADO,24,4282101,879000000,1913724,1.1,3.814853618,2.772430846,10,NO,0,0
RETIRADO,2,1249967,271000000,1943126,16,6.695830621,241.0772857,0,NO,0,0
VINCULADO,10,2065917,475000000,836884,14.8,4.88230383,16.51818823,12.9,NO,0,0
RETIRADO,15,6875398,1452000000,1151833,15.7,6.808584396,262.9517972,83.8,NO,0,0
RETIRADO,1,6851389,247000000,968422,0.8,6.351273576,292.9222614,46.3,NO,0,0
RETIRADO,55,7028079,781000000,474631,2.4,6.854084098,266.9188275,93.7,NO,0,0
RETIRADO,19,7071502,1567000000,2699757,15.1,6.347160102,204.5502737,78.6,NO,0,0
RETIRADO,32,7289795,462000000,947153,0,6.473346094,95.20585589,67.4,NO,0,0
RETIRADO,31,1080617,712000000,2338548,15.2,6.763727712,255.8112715,19.8,NO,0,0
RETIRADO,33,7473750,155000000,950265,14.4,4.559674801,29.12160185,72.6,NO,0,0
RETIRADO,4,7774106,497000000,1020424,17,6.380402328,63.96715344,68.8,NO,0,0
RETIRADO,21,574087,827000000,2403195,16.6,7.185718772,248.6658198,8.1,NO,0,0
VINCULADO,0,6990953,1541000000,1368827,16.4,4.599437536,0,67.3,NO,0,0
RETIRADO,50,7402913,1108000000,3580923,16.6,7.001448588,204.9594053,39.2,NO,0,0
RETIRADO,39,3757884,894000000,1090719,2.1,6.762563094,239.6752886,8.6,NO,0,0
VINCULADO,43,6735795,1429000000,668634,15.2,4.437128188,15.82790921,64.2,NO,0,0
VINCULADO,53,2065934,431000000,2470477,2,4.971236803,28.56700435,22.8,NO,0,0
RETIRADO,28,1002200,208000000,347029,15.2,6.76480884,265.1199894,10.7,NO,0,0
RETIRADO,18,6955447,1702000000,1354081,16.8,5.417642337,71.22861009,82,NO,0,0
VINCULADO,19,3603537,864000000,762784,0.8,4.723546577,62.64128222,18.2,SI,-74.10755205,4.549537021
VINCULADO,18,6967333,174000000,2387286,17.1,5.246241443,0,84.2,NO,0,0
VINCULADO,44,7130251,1567000000,792195,2.3,5.205657487,0,69.9,NO,0,0
VINCULADO,15,7517081,937000000,2560137,16.2,4.686323472,82.59154157,93,NO,0,0
VINCULADO,50,6945036,724000000,1756479,15.3,6.498649444,276.393224,80.3,NO,0,0
RETIRADO,28,7865690,457000000,1649016,16.2,6.685850738,200.6891541,59.2,NO,0,0
RETIRADO,27,6682724,455000000,2781513,15,4.855785254,62.56470286,66.4,NO,0,0
VINCULADO,1,6784327,402000000,1223135,17.2,4.932720899,36.84967443,71,NO,0,0
VINCULADO,27,2760032,1063000000,1940021,3.3,4.720641468,21.53663095,22.9,NO,0,0
RETIRADO,33,6885549,1659000000,2014900,2.6,6.64192112,253.3007088,60.6,NO,0,0
VINCULADO,12,7359584,1017000000,2170365,2.2,4.143748343,42.25975293,74.6,NO,0,0
RETIRADO,25,1216086,253000000,1163930,15.7,6.670834359,258.3967768,14,NO,0,0
VINCULADO,58,2661317,85000000,386369,2.1,4.318266981,67.59196397,22.2,SI,-74.15046832,4.570013724
RETIRADO,41,6665946,1568000000,598423,15.9,6.477128357,126.5140152,69,SI,-74.0911187,4.748933041
RETIRADO,33,150000,83000000,2392353,16.9,6.753311095,255.1133151,19.1,NO,0,0
RETIRADO,12,7353844,458000000,393092,15.3,6.864611505,179.7066399,70.8,NO,0,0
VINCULADO,51,372030,725000000,505804,14.4,4.92395767,16.50928813,25.4,NO,0,0
VINCULADO,32,1029579,727000000,301664,15.6,4.347082827,10.52138503,16.7,NO,0,0
VINCULADO,23,935461,873000000,1960723,16.6,4.539005992,0,12,NO,0,0
VINCULADO,18,8072411,1849000000,719858,16.3,5.051330292,24.97257278,59,NO,0,0
RETIRADO,19,7088697,658000000,1437719,2.4,6.969868207,275.2613727,52.1,NO,0,0
VINCULADO,34,6317528,432000000,1244420,1.9,4.1221645,35.91928633,65.5,NO,0,0
VINCULADO,0,3001310,95000000,1541399,1.9,5.233858854,0,9.4,NO,0,0
VINCULADO,22,6623690,960000000,2148292,3.1,4.27136709,4.215843631,96.5,NO,0,0
RETIRADO,5,3362523,720000000,1478478,2.7,6.616152744,213.58874,16,NO,0,0
VINCULADO,38,6388859,1336000000,1627357,16.3,4.629358284,0,70.7,NO,0,0
RETIRADO,17,7088113,458000000,2107077,1.4,6.995708306,169.157255,52.2,NO,0,0
RETIRADO,16,7331912,139000000,845117,13.9,6.578997024,208.1719156,55.9,NO,0,0
VINCULADO,3,872721,782000000,374670,14.7,4.74552294,0,28,NO,0,0
RETIRADO,28,4049747,362000000,911871,2.7,6.402070548,193.144535,13.6,NO,0,0
RETIRADO,20,6863320,206000000,808588,1.8,7.126433547,202.3159595,74.3,NO,0,0
RETIRADO,28,3652821,862000000,433031,4.2,4.877369456,17.20742654,10.6,NO,0,0
VINCULADO,6,1732850,388000000,293427,15.2,5.02866798,0,22.1,NO,0,0
VINCULADO,0,7115507,1574000000,906339,1.1,4.390751759,3.765580511,58.7,NO,0,0
VINCULADO,0,3217358,607000000,2404453,3.1,3.672825872,21.29600095,7.9,SI,-74.15012993,4.567012575
RETIRADO,8,3214633,956000000,541923,3.8,5.170371008,0,19.3,NO,0,0
RETIRADO,45,440846,322000000,1458789,16.3,7.055360329,206.4936592,19.3,NO,0,0
RETIRADO,48,7382611,1706000000,633469,1.4,6.424685357,226.404231,57.9,NO,0,0
RETIRADO,7,7418844,1567000000,1766203,3.2,6.908689763,259.4825763,65.8,NO,0,0
VINCULADO,13,3573947,434000000,857945,3.3,5.83385679,0,10.6,NO,0,0
VINCULADO,40,3398240,359000000,1439036,2,6.79746454,0,20,NO,0,0
RETIRADO,19,6980899,896000000,638374,16.2,7.111997098,244.0747833,81.1,NO,0,0
VINCULADO,11,1394742,286000000,373215,16.4,5.129431124,30.59340698,9,NO,0,0
VINCULADO,23,3455306,754000000,2414540,3.8,4.765507863,63.75946991,26.8,NO,0,0
VINCULADO,31,6249299,1438000000,572845,2.1,7.566635855,265.3619377,62.4,NO,0,0
RETIRADO,29,3565167,888000000,385122,2.5,6.514341709,153.0369507,35.2,NO,0,0
VINCULADO,31,7188868,1527000000,2616933,2.2,5.4234974,19.66977555,55.7,NO,0,0
VINCULADO,19,7394521,620000000,2699991,15.7,4.642384489,39.23365625,77.3,NO,0,0
RETIRADO,27,7341561,1683000000,1014195,17.2,7.170188274,251.7908252,60,NO,0,0
VINCULADO,46,1387130,314000000,372163,19.1,4.647263429,54.05715294,15.1,NO,0,0
VINCULADO,30,7013425,613000000,773158,3.1,5.070185221,0,71.4,NO,0,0
VINCULADO,33,3636528,806000000,1043579,3.7,5.631101863,48.226465,16,NO,0,0
RETIRADO,42,968623,203000000,1382935,16.3,6.353605042,194.5271034,13.8,NO,0,0
VINCULADO,25,7074956,488000000,1969328,16.4,4.588319255,28.08983648,76.7,NO,0,0
RETIRADO,7,3684639,556000000,845646,2.9,7.026802027,156.5518347,15.8,NO,0,0
VINCULADO,3,7084131,1658000000,1305174,1.4,4.632368454,8.656145556,79,NO,0,0
VINCULADO,41,7163271,718000000,2084011,2,7.008765715,189.730248,50.6,NO,0,0
RETIRADO,15,6983280,391000000,1811298,3.3,7.156921583,179.9128484,75.4,NO,0,0
RETIRADO,33,8022218,471000000,790642,2,7.403858217,298.7186377,44.6,NO,0,0
RETIRADO,17,1406610,334000000,404116,15.4,6.503207553,122.0530771,6.7,NO,0,0
RETIRADO,31,6663150,1415000000,1395794,2.7,6.439306444,174.3740396,47,NO,0,0
RETIRADO,45,8305657,309000000,1672455,1.4,6.911629353,294.725213,75.4,NO,0,0
VINCULADO,21,6996775,926000000,2118875,16.8,6.685593164,258.9306091,51.4,NO,0,0
RETIRADO,15,285662,83000000,619540,14,6.922784175,109.1416605,16.2,NO,0,0
RETIRADO,18,8372093,254000000,2385771,4.5,6.411443594,196.3872466,84.4,NO,0,0
VINCULADO,22,7208580,663000000,365082,15.2,4.822353607,38.81090861,44.8,NO,0,0
RETIRADO,24,1651217,480000000,1034260,14,7.047572306,102.5058306,12.7,NO,0,0
VINCULADO,6,2493059,845000000,1092967,2.3,4.700935744,0,5.8,NO,0,0
RETIRADO,19,6751621,1039000000,2031707,15.4,6.783347992,148.6961729,88,NO,0,0
RETIRADO,6,2194139,525000000,474706,17,6.366500148,236.9290398,12,NO,0,0
VINCULADO,14,6719453,435000000,1432710,15.3,6.764174021,198.7962478,62.3,NO,0,0
VINCULADO,31,7659851,263000000,1729200,15.8,4.86760457,64.41950269,77.4,NO,0,0
RETIRADO,1,3956273,835000000,2703417,2.4,6.738128207,281.4044024,21.4,NO,0,0
RETIRADO,46,6933338,568000000,1115257,17.4,6.595851503,351.5479088,46.8,NO,0,0
VINCULADO,15,355654,558000000,2616605,15.3,4.69497701,66.08582993,25.3,NO,0,0
VINCULADO,43,705361,1264000000,427667,15.8,3.822256743,27.28821333,15.3,SI,-74.12663036,4.554639301
VINCULADO,35,3258001,735000000,1258800,2.7,4.83053816,43.92880397,5.9,NO,0,0
RETIRADO,40,7035800,756000000,2026187,18,6.780573218,273.662531,57.1,NO,0,0
RETIRADO,32,7358601,1709000000,1143451,15.5,6.537561806,196.9576833,80.4,NO,0,0
VINCULADO,38,8091932,1684000000,734602,15.4,4.573091533,0,37.1,NO,0,0
RETIRADO,8,567569,116000000,339686,18.7,7.321405572,299.009825,21.9,NO,0,0
VINCULADO,14,7685476,725000000,1883340,2.9,3.8026088,0,68.8,NO,0,0
RETIRADO,19,7203329,1559000000,271451,16.7,6.698760339,141.783904,65.9,NO,0,0
RETIRADO,20,831598,179000000,408226,15.1,6.467421021,116.0414477,26,NO,0,0
RETIRADO,38,3200986,665000000,1127704,1.2,6.087890232,309.8527945,24.8,NO,0,0
RETIRADO,2,3559228,424000000,595105,0.8,6.972220495,150.1792602,22.7,NO,0,0
VINCULADO,43,324822,84000000,1338333,15.7,3.485752701,0,13.2,NO,0,0
RETIRADO,28,7122281,657000000,1964439,17.8,6.498261,174.7351072,75.4,NO,0,0
RETIRADO,0,1397781,803000000,353290,17.1,6.837826038,327.13974,18.6,NO,0,0
VINCULADO,33,2435299,85000000,431496,2,5.0168511,1.807078369,15,NO,0,0
VINCULADO,30,7651256,638000000,1893032,2.3,6.72963912,80.62337014,60.7,NO,0,0
VINCULADO,38,6699876,1458000000,1609462,14.3,4.787832305,0,63.4,NO,0,0
VINCULADO,1,3308110,386000000,612589,2.4,5.311555772,0,14.4,NO,0,0
RETIRADO,17,917738,454000000,3232222,15.9,7.148225437,193.146915,12.8,NO,0,0
